HomeTeam,AwayTeam,Round
sale,harlequins,1
gloucester,saracens,1
exeter-chiefs,leicester,1
bath,northampton,1
newcastle,bristol,1
leicester,bath,2
northampton,exeter-chiefs,2
saracens,sale,2
harlequins,newcastle,2
bristol,gloucester,2
saracens,exeter-chiefs,3
newcastle,leicester,3
bath,bristol,3
northampton,harlequins,3
sale,gloucester,3
harlequins,saracens,4
leicester,northampton,4
gloucester,bath,4
exeter-chiefs,bristol,4
sale,newcastle,4
leicester,gloucester,5
harlequins,bath,5
bristol,saracens,5
newcastle,exeter-chiefs,5
northampton,sale,5
exeter-chiefs,harlequins,6
saracens,leicester,6
bath,sale,6
gloucester,newcastle,6
bristol,northampton,6
sale,leicester,7
bath,exeter-chiefs,7
northampton,gloucester,7
harlequins,bristol,7
newcastle,saracens,7
saracens,northampton,8
newcastle,bath,8
sale,exeter-chiefs,8
leicester,bristol,8
gloucester,harlequins,8
exeter-chiefs,gloucester,9
harlequins,leicester,9
northampton,newcastle,9
bath,saracens,9
bristol,sale,9
northampton,bath,10
saracens,bristol,10
leicester,exeter-chiefs,10
gloucester,sale,10
newcastle,harlequins,10
bristol,newcastle,11
sale,bath,11
exeter-chiefs,saracens,11
gloucester,leicester,11
harlequins,northampton,11
bath,gloucester,12
bristol,exeter-chiefs,12
saracens,harlequins,12
newcastle,sale,12
northampton,leicester,12
leicester,saracens,13
gloucester,bristol,13
bath,harlequins,13
exeter-chiefs,newcastle,13
sale,northampton,13
bristol,leicester,14
saracens,gloucester,14
harlequins,sale,14
exeter-chiefs,bath,14
newcastle,northampton,14
sale,saracens,15
bath,newcastle,15
leicester,harlequins,15
northampton,bristol,15
gloucester,exeter-chiefs,15
leicester,sale,16
saracens,newcastle,16
bristol,bath,16
harlequins,gloucester,16
exeter-chiefs,northampton,16
newcastle,gloucester,17
sale,bristol,17
northampton,saracens,17
bath,leicester,17
harlequins,exeter-chiefs,17
bristol,harlequins,18
exeter-chiefs,sale,18
gloucester,northampton,18
leicester,newcastle,18
saracens,bath,18
