HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,Home 22m Entries,Away 22m Entries,Home 22m Conversions,Away 22m Conversions,Home Line Breaks,Away Line Breaks,Home Carries,Away Carries,Home Kicks,Away Kicks,Home Post Contact Metres,Away Post Contact Metres,Home Dominate Tackles,Away Dominate Tackles,Home Tackles Made,Away Tackles Made,Home Tackles Missed,Away Tackles Missed,Home Turnovers Won,Away Turnovers Won,Home Tackle Turnovers,Away Tackle Turnovers,Home Offloads Allowed,Away Offloads Allowed,Home 0-3s Ruck Speed,Away 0-3s Ruck Speed,Home 3-6s Ruck Speed,Away 3-6s Ruck Speed,Home 6s+ Ruck Speed,Away 6s+ Ruck Speed,Home Rucks Won,Away Rucks Won,Home Penalty Goals,Away Penalty Goals,Home Tries,Away Tries,Home Conversions,Away Conversions,Home Drop Goals,Away Drop Goals,Home Turnovers Lost,Away Turnovers Lost,Territory Home Try-Line - 22m,Territory Home 22m - 50m,Territory Away 22m - 50m,Territory Away Try-Line - 22m,Home Territory,Away Territory,Home Possessions Try Line - 22m,Home Possession 22m - 50m,Home Possession opp 50m - 22m,Home Possession opp 22m - Try Line,Away Possessions Try Line - 22m,Away Possession 22m - 50m,Away Possession opp 50m - 22m,Away Possession opp 22m - Try Line,Home Possession Last 10,Away Possession Last 10,Home Possession,Away Possession,Home Scrums,Away Scrums,Home Scrum Wins,Away Scrum Wins,Home Lineouts,Away Lineouts,Home Lineout Wins %,Away Lineout Wins %,Home Restarts Received,Away Restarts Received,Home Restarts Received Win %,Away Restarts Received Win %,Home Passes,Away Passes,Home Penalties Conceded,Away Penalties Conceded,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Tackle Completion,Away Tackle Completion,Home Metres Gained,Away Metres Gained,Home Defenders Beaten,Away Defenders Beaten,Home Maul Wins,Away Maul Wins
gloucester,wasps,22/23,1,27,21,10,10,2.4,2.1,3,2,64,103,18,16,244,254,5,2,141,84,20,17,5,6,2,3,7,5,0.31,0.48,0.33,0.3,0.29,0.17,52,86,1,0,4,3,1,3,0,0,12,10,0.3,0.26,0.16,0.28,0.5,0.5,0.14,0.31,0.35,0.2,0.11,0.19,0.33,0.38,0.61,0.39,0.44,0.56,6,10,1,0.6,17,13,0.88,0.77,6,5,0.83,1,94,123,8,15,0,2,0,0,0.88,0.83,265,334,17,20,6,7
exeter-chiefs,leicester,22/23,1,24,20,10,5,2.1,2.8,2,3,161,58,49,54,454,132,10,1,93,215,11,26,1,7,1,4,0,10,0.66,0.26,0.17,0.51,0.13,0.2,125,56,1,2,3,2,2,2,0,0,12,13,0.12,0.37,0.22,0.28,0.5,0.5,0.07,0.31,0.35,0.27,0.07,0.32,0.46,0.15,0.11,0.89,0.57,0.43,3,5,1,1,12,15,0.83,0.8,4,6,1,0.89,176,84,11,11,1,1,0,0,0.89,0.89,517,163,26,11,1,8
london-irish,worcester,22/23,1,45,14,11,9,4.09,1.56,4,5,120,115,24,19,93,67,6,5,159,137,11,19,9,8,4,4,12,10,0.67,0.57,0.21,0.26,0.12,0.16,86,93,0,0,7,2,5,2,0,0,19,14,0.14,0.37,0.23,0.26,0.51,0.49,0.07,0.2,0.38,0.34,0.06,0.21,0.53,0.2,0.67,0.33,0.53,0.47,3,6,0.67,0.4,25,12,0.88,0.67,7,3,1,1,167,192,4,16,0,0,0,0,0.94,0.88,379,350,19,11,13,1
newcastle,harlequins,22/23,1,31,40,8,14,3.88,2.86,2,8,62,106,17,18,155,327,3,3,123,61,23,6,9,5,4,3,8,6,0.31,0.52,0.32,0.2,0.34,0.2,42,81,0,0,5,6,3,5,0,0,11,13,0.33,0.17,0.29,0.21,0.41,0.59,0.06,0.34,0.25,0.35,0.09,0.32,0.2,0.4,0.14,0.86,0.43,0.57,6,10,0.67,0.7,13,11,0.92,1,5,6,0.8,0.83,68,145,15,8,0,0,0,0,0.84,0.91,308,523,2,23,9,6
worcester,exeter-chiefs,22/23,2,21,36,9,11,2.33,3,5,6,96,178,19,24,189,239,9,10,224,116,19,23,6,1,0,0,16,15,0.51,0.5,0.28,0.29,0.15,0.14,72,138,0,1,3,5,3,4,0,0,11,10,0.13,0.37,0.07,0.43,0.61,0.39,0.09,0.27,0.55,0.09,0.14,0.22,0.47,0.17,0.6,0.4,0.39,0.61,5,5,0.8,0.4,13,14,0.62,0.86,4,7,0.8,0.87,142,193,15,13,1,0,0,0,0.92,0.83,307,518,23,19,2,6
bath,sale,22/23,2,20,37,8,8,1.75,3.5,7,4,116,71,23,23,455,263,1,8,83,136,15,31,3,4,2,0,7,15,0.52,0.44,0.21,0.18,0.21,0.34,90,54,2,3,2,4,2,4,0,0,7,15,0.3,0.26,0.1,0.34,0.58,0.42,0.06,0.34,0.47,0.14,0.06,0.17,0.35,0.41,0.63,0.37,0.57,0.43,12,1,0.83,1,7,18,0.86,0.83,6,8,0.67,0.87,131,79,16,12,0,1,0,1,0.85,0.81,386,248,31,15,2,8
harlequins,saracens,22/23,2,27,30,7,11,3.86,2.18,3,10,81,132,33,25,168,352,4,11,146,99,20,11,8,5,3,1,20,2,0.43,0.59,0.23,0.22,0.27,0.13,70,97,2,2,3,4,3,2,0,0,11,13,0.24,0.34,0.06,0.35,0.4,0.6,0.15,0.43,0.35,0.06,0.04,0.38,0.34,0.24,0.5,0.5,0.47,0.53,5,5,1,0.8,13,13,1,0.92,6,7,0.83,1,98,195,9,12,0,0,0,0,0.88,0.9,328,506,11,20,6,5
leicester,newcastle,22/23,2,36,21,11,9,3.27,2.33,6,3,84,103,43,38,291,224,8,0,126,96,11,18,5,2,1,1,9,4,0.53,0.56,0.2,0.15,0.22,0.21,59,78,1,0,5,3,4,3,0,0,13,10,0.12,0.31,0.37,0.21,0.6,0.4,0.15,0.25,0.22,0.38,0.08,0.48,0.32,0.12,0.75,0.25,0.47,0.53,7,6,0.86,1,12,18,0.83,1,8,4,1,1,110,152,11,8,0,0,0,0,0.92,0.84,574,353,18,11,5,5
wasps,bristol,22/23,2,8,23,14,8,0.36,2.88,7,4,164,75,17,31,243,71,6,7,97,233,13,48,2,8,0,6,10,25,0.59,0.26,0.32,0.4,0.09,0.34,128,59,1,2,1,2,0,2,0,1,27,9,0.21,0.18,0.31,0.3,0.68,0.32,0.02,0.24,0.36,0.38,0.21,0.31,0.22,0.25,0.55,0.45,0.57,0.43,8,17,1,0.93,9,11,0.89,0.73,4,6,0.8,0.83,204,100,9,8,0,0,0,0,0.88,0.83,709,313,48,13,3,2
northampton,london-irish,22/23,2,38,22,13,9,2.46,2.44,4,5,104,74,28,26,147,142,2,4,77,109,15,27,4,5,2,3,8,16,0.73,0.55,0.22,0.15,0,0.25,79,54,4,1,4,3,3,1,0,0,16,7,0.27,0.15,0.24,0.34,0.55,0.45,0.03,0.28,0.4,0.29,0.15,0.36,0.18,0.32,0.51,0.49,0.56,0.44,4,12,0.5,0.75,23,11,1,1,9,4,1,1,151,80,11,16,1,3,0,0,0.84,0.8,408,453,27,15,11,6
exeter-chiefs,harlequins,22/23,3,43,42,14,13,2.86,3.23,8,8,174,85,10,21,596,266,6,4,80,208,21,38,5,9,5,0,12,14,0.43,0.35,0.33,0.29,0.19,0.33,140,55,1,0,6,6,5,6,0,0,12,11,0.18,0.23,0.2,0.39,0.48,0.52,0.11,0.25,0.43,0.22,0.17,0.37,0.26,0.2,0.2,0.8,0.63,0.37,7,10,0.86,1,10,12,0.8,0.67,7,7,0.86,0.75,222,117,14,6,1,0,0,0,0.79,0.85,641,445,38,21,3,1
bristol,london-irish,22/23,3,40,36,13,10,3.08,3.6,4,4,136,147,19,17,255,368,4,2,226,177,33,18,4,10,2,5,10,14,0.54,0.65,0.28,0.16,0.15,0.14,104,123,0,1,6,5,5,4,0,0,18,17,0.15,0.26,0.24,0.34,0.62,0.38,0.04,0.16,0.47,0.33,0.12,0.31,0.36,0.21,0.21,0.79,0.48,0.52,6,6,1,1,16,13,0.94,1,6,7,1,1,166,216,10,9,0,1,0,0,0.87,0.91,437,654,18,33,7,5
northampton,leicester,22/23,3,21,41,7,16,3,2.38,7,8,95,136,32,33,200,240,3,4,166,102,31,17,6,4,6,1,17,13,0.59,0.59,0.32,0.19,0.03,0.16,61,104,0,1,3,6,3,4,0,0,14,13,0.29,0.34,0.08,0.28,0.51,0.49,0.18,0.42,0.31,0.09,0.09,0.22,0.37,0.32,0.64,0.36,0.37,0.63,3,19,1,0.74,9,10,0.89,1,4,8,0.8,0.89,123,169,14,2,3,0,0,0,0.84,0.86,585,584,7,31,2,6
worcester,newcastle,22/23,3,39,5,13,7,2.54,0.71,7,2,119,92,21,28,211,175,11,3,116,127,16,21,4,4,2,3,7,15,0.54,0.36,0.22,0.42,0.21,0.18,76,73,2,0,5,1,4,0,0,0,13,11,0.14,0.31,0.15,0.4,0.47,0.53,0.07,0.18,0.54,0.21,0.12,0.27,0.42,0.19,0.47,0.53,0.51,0.49,7,5,0.86,0.6,19,18,0.84,0.94,8,2,0.75,0.67,185,140,13,16,0,1,0,0,0.88,0.86,527,291,21,16,7,5
bath,wasps,22/23,3,31,39,8,8,3.88,3.38,5,5,122,89,19,17,207,136,5,5,120,164,10,17,4,5,2,0,6,7,0.29,0.28,0.39,0.38,0.28,0.32,103,76,1,5,4,4,4,2,0,0,8,8,0.22,0.26,0.26,0.26,0.53,0.47,0.08,0.21,0.36,0.36,0.08,0.24,0.37,0.31,0.98,0.02,0.57,0.43,4,4,0.5,0.75,14,9,0.93,1,6,8,1,0.87,113,103,10,14,1,1,0,0,0.92,0.91,386,297,17,10,10,6
harlequins,northampton,22/23,4,35,29,12,16,2.92,1.63,3,9,103,161,30,17,170,287,2,2,170,111,24,13,12,6,6,3,25,8,0.52,0.55,0.26,0.35,0.18,0.05,79,116,0,1,5,4,5,3,0,0,11,18,0.21,0.37,0.08,0.34,0.23,0.77,0.15,0.32,0.43,0.1,0.03,0.23,0.47,0.27,0.08,0.92,0.43,0.57,8,3,0.88,0.67,9,18,0.89,1,7,6,0.87,0.89,121,233,13,9,0,1,0,0,0.88,0.9,419,636,13,24,4,8
